method	batch size	eval_string	indexing (s)	size (GB)	retrieval (s)	per query (s)	mrr
flat-QT_4bit_uniform	128	flat_sq('QT_4bit_uniform')	23.748478412628174	3.162082397378981	3551.4613897800446	0.5088053567020121	0.17264031018329007
pq-96-8b	128	pq(96, 8)	820.1625552177429	0.7912530805915594	106.75433111190796	0.01529431677821031	0.298110986037202
flat	128	flat()	70.2471981048584	25.29665855783969	1918.7516865730286	0.2748927917726402	0.34432192886705804
flat-QT_fp16	128	flat_sq('QT_fp16')	40.57719278335571	12.648329333402216	4010.647510766983	0.5745913339207712	0.34380469140855996
pq-384-8b	128	pq(384, 8)	3317.7709155082703	3.1628148164600134	576.9104087352753	0.08265192102224574	0.34226685086642095
hnsw-512-128-200	128	hnsw(512, 128, 200)	10049.8941988945	59.15765982680023	8.165266990661621	0.001169809024450089	0.3430195683813165
pq-96-9b	128	pq(96, 9)	1290.3617897033691	0.8908005747944117	608.7052211761475	0.08720705174443373	0.302071906126346
flat-QT_8bit_uniform	128	flat_sq('QT_8bit_uniform')	41.158671379089355	6.324164711870253	2349.3858234882355	0.3365882268607787	0.3442308523218266
pq-192-9b	128	pq(192, 9)	2619.0501656532288	1.780136225745082	1197.8675632476807	0.17161426407559896	0.32936752399144886
flat-ivf-QT_8bit_uniform	128	flat_ivf('QT_8bit_uniform', 64, 32)	48.0038058757782	6.390225104987621	1240.0832118988037	0.17766235127490024	0.3415759312320914
pq-192-8b	128	pq(192, 8)	1332.0844142436981	1.5817736592143774	228.4804403781891	0.03273358744673196	0.32860491426752125
